tag_name,name,published_at
autogpt-platform-beta-v0.4.3,autogpt-platform-beta-v0.4.3,2025-01-13T19:02:16Z
autogpt-platform-beta-v0.4.2,autogpt-platform-beta-v0.4.2,2025-01-10T08:52:12Z
autogpt-platform-beta-v0.4.1,autogpt-platform-beta-v0.4.1,2024-12-31T10:17:54Z
autogpt-platform-beta-v0.4.0,autogpt-platform-beta-v0.4.0,2024-12-20T14:42:21Z
autogpt-platform-beta-v0.3.4,autogpt-platform-beta-v0.3.4,2024-12-02T02:17:23Z
autogpt-platform-beta-v0.3.3,AutoGPT Platform v0.3.3,2024-11-20T23:33:24Z
autogpt-platform-beta-v0.3.2,autogpt-platform-beta-v0.3.2,2024-11-18T21:01:57Z
autogpt-platform-beta-v0.3.1,AutoGPT Platform v0.3.1,2024-11-18T11:19:52Z
autogpt-platform-beta-v0.2.2,autogpt-platform-beta-v0.2.2,2024-11-11T00:34:29Z
autogpt-platform-beta-v0.2.1,autogpt-platform-beta-v0.2.1,2024-11-08T04:49:33Z
agpt-platform-beta-v0.2.0,agpt-platform-beta-v0.2.0,2024-10-31T02:50:12Z
agpt-platform-beta-v0.1.1,agpt-platform-beta-v0.1.1,2024-10-24T18:55:07Z
agpt-platform-beta-v0.1.0,agpt-platform-beta-v0.1.0,2024-10-17T11:55:10Z
autogpt-v0.5.1,AutoGPT v0.5.1,2024-04-26T20:15:57Z
autogpt-v0.5.0,AutoGPT v0.5.0,2023-12-14T15:17:16Z
agbenchmark-v0.0.10,agbenchmark-v0.0.10,2023-09-17T00:02:08Z
v0.4.7,AutoGPT v0.4.7,2023-08-11T17:55:06Z
v0.4.6,Auto-GPT v0.4.6,2023-07-28T12:42:29Z
v0.4.5,Auto-GPT v0.4.5,2023-07-19T18:18:47Z
v0.4.4,Auto-GPT v0.4.4,2023-07-11T22:01:35Z
v0.4.3,Auto-GPT v0.4.3,2023-06-28T08:16:40Z
v0.4.3-alpha,Auto-GPT v0.4.3-alpha ,2023-06-27T10:03:51Z
v0.4.2,Auto-GPT v0.4.2 (hotfix),2023-06-19T20:45:18Z
v0.4.1,Auto-GPT v0.4.1,2023-06-19T17:39:49Z
v0.4.0,Auto-GPT v0.4.0,2023-06-05T14:13:49Z
v0.3.1,Auto-GPT v0.3.1,2023-05-15T12:12:04Z
v0.3.0,Auto-GPT v0.3.0,2023-05-02T16:41:43Z
v0.2.2,Auto-GPT v0.2.2,2023-04-20T05:04:45Z
v0.2.1,Auto-GPT v0.2.1,2023-04-16T18:24:20Z
v0.2.0,Auto-GPT v0.2.0,2023-04-15T05:19:14Z
